Quarter,Time,Down,ToGo,Location,SFO,MIA,Detail,EPB,EPA
4,7:22,3,4,SFO 36,17,19,Brock Purdy pass complete short left to Patrick Taylor for 1 yard (tackle by Duke Riley and Jalen Ramsey),0.500,-0.910
4,6:45,4,3,SFO 37,17,19,Pat O'Donnell punts 39 yards out of bounds. Penalty on Isaac Yiadom: Illegal Substitution 5 yards (accepted),-0.910,-0.870
4,6:37,1,10,MIA 29,17,19,De'Von Achane left end for 7 yards (tackle by Renardo Green and Deommodore Lenoir). Penalty on Deommodore Lenoir: Unnecessary Roughness / Defense 15 yards (accepted),0.870,2.320
4,6:13,1,10,SFO 49,17,19,De'Von Achane up the middle for no gain (tackle by Dee Winters). Penalty on Kalia Davis: Defensive Offside 5 yards (accepted) (no play),2.320,3.050
4,5:44,1,5,SFO 44,17,19,De'Von Achane left guard for 4 yards (tackle by Fred Warner and Evan Anderson),3.050,3.000
4,5:11,2,1,SFO 40,17,19,De'Von Achane up the middle for 5 yards (tackle by Demetrius Flannigan-Fowles and Renardo Green),3.000,3.250
4,4:27,1,10,SFO 35,17,19,Raheem Mostert left guard for no gain (tackle by Jordan Elliott and Yetur Gross-Matos),3.250,2.700
4,3:42,2,10,SFO 35,17,19,Tua Tagovailoa pass complete short left to De'Von Achane for 7 yards (tackle by Yetur Gross-Matos),2.700,2.940
4,2:58,3,3,SFO 28,17,19,Raheem Mostert left guard for -2 yards (tackle by Demetrius Flannigan-Fowles),2.940,1.450
4,2:13,,,,,,Timeout #1 by Miami Dolphins,,
4,2:13,4,5,SFO 30,17,22,Jason Sanders 48 yard field goal good,1.450,3.000
4,2:10,,,MIA 35,17,22,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
4,2:10,1,10,SFO 30,17,22,Brock Purdy pass complete deep right to Jauan Jennings for 17 yards (tackle by Storm Duck),0.940,2.060
4,2:00,1,10,SFO 47,17,22,Brock Purdy pass short middle intended for Jauan Jennings is intercepted by Kader Kohou at MIA-38 and returned for no gain (tackle by Jauan Jennings),2.060,-1.470
4,1:56,1,10,MIA 38,17,22,De'Von Achane left end for 8 yards (tackle by Talanoa Hufanga and Nick Bosa),1.470,2.000
4,1:47,,,,,,Timeout #1 by San Francisco 49ers,,
