Quarter,Time,Down,ToGo,Location,NWE,BUF,Detail,EPB,EPA
4,1:54,3,4,BUF 4,14,24,Drake Maye pass incomplete short left intended for Kendrick Bourne. Penalty on Kaiir Elam: Defensive Pass Interference 3 yards (accepted) (no play),4.490,6.970
4,1:50,1,1,BUF 1,14,24,Drake Maye pass complete short left to Demario Douglas for no gain touchdown Replay Assistant challenged the pass completion ruling and the original play was overturned. Drake Maye pass incomplete short left intended for Demario Douglas,6.970,5.910
4,1:47,2,1,BUF 1,14,24,Drake Maye sacked by. Drake Maye fumbles recovered by Drake Maye at BUF-9,5.910,3.360
4,1:17,3,9,BUF 9,20,24,Drake Maye pass complete short right to Hunter Henry for 9 yards touchdown,3.360,7.000
4,1:13,,,BUF 15,21,24,Joey Slye kicks extra point good,0.000,0.000
4,1:13,,,NWE 35,21,24,Joey Slye kicks onside 13 yards returned by Khalil Shakir for no gain,0.000,2.390
4,1:11,1,10,NWE 48,21,24,Ty Johnson left end for 12 yards (tackle by Jahlani Tavai),2.390,3.180
4,1:04,,,,,,Timeout #1 by New England Patriots,,
4,1:04,1,10,NWE 36,21,24,Ty Johnson left tackle for 5 yards (tackle by Sione Takitaki and Jahlani Tavai),3.180,3.310
4,0:59,,,,,,Timeout #2 by New England Patriots,,
4,0:59,2,5,NWE 31,21,24,Ty Johnson left end for 4 yards (tackle by Davon Godchaux and Jeremiah Pharms),3.310,3.140
4,0:54,,,,,,Timeout #3 by New England Patriots,,
4,0:54,3,1,NWE 27,21,24,Ty Johnson left end for no gain (tackle by Davon Godchaux),3.140,1.820
4,0:10,,,,,,Timeout #2 by Buffalo Bills,,
4,0:10,4,1,NWE 27,21,24,Josh Allen left guard for 2 yards (tackle by Jahlani Tavai and Anfernee Jennings),1.820,3.640
