Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
,,,,,,,Cowboys won the coin toss Cowboys to receive the opening kickoff.,,
4,8:17,3,7,TAM 49,17,26,Cooper Rush pass complete short left to Ryan Flournoy for 1 yard (tackle by Christian Izien),1.290,0.070
4,7:38,4,6,TAM 48,17,26,Bryan Anger punts 39 yards fair catch by Trey Palmer at TB-9,0.070,0.380
4,7:32,1,10,TAM 9,17,26,Baker Mayfield scrambles left end for 18 yards (tackle by Jourdan Lewis),-0.380,0.740
4,7:06,1,10,TAM 27,17,26,Baker Mayfield pass incomplete deep middle intended for Mike Evans,0.740,0.200
4,7:00,2,10,TAM 27,17,26,Baker Mayfield pass incomplete short middle intended for Trey Palmer (defended by Chauncey Golston). Penalty on Tristan Wirfs: Illegal Formation 5 yards (declined),0.200,-0.490
4,6:55,3,10,TAM 27,17,26,Baker Mayfield pass complete deep left to Trey Palmer for 27 yards (tackle by Malik Hooker),-0.490,2.520
4,6:29,1,10,DAL 46,17,26,Baker Mayfield pass deep middle intended for Jalen McMillan is intercepted by Jourdan Lewis in end zone and returned for no gain Replay Assistant challenged the pass interception ruling and the play was upheld.,2.520,-0.280
4,6:22,1,10,DAL 20,17,26,Cooper Rush pass incomplete short right intended for Hunter Luepke (defended by J.J. Russell),0.280,-0.270
4,6:14,2,10,DAL 20,17,26,Rico Dowdle left guard for 2 yards (tackle by YaYa Diaby),-0.270,-0.690
4,5:39,3,8,DAL 22,17,26,Rico Dowdle left end for 6 yards (tackle by Mike Edwards),-0.690,-1.500
4,4:58,4,2,DAL 28,17,26,Bryan Anger punts 57 yards returned by Trey Palmer for 8 yards (tackle by Kemon Hall). Penalty on Antonio Grier: Illegal Block Above the Waist 10 yards (accepted),-1.500,0.320
4,4:43,1,10,TAM 13,17,26,Baker Mayfield pass complete short middle to Rachaad White for 4 yards (tackle by Nick Vigil),-0.320,-0.300
4,4:22,2,6,TAM 17,17,26,Baker Mayfield pass complete short middle to Mike Evans for 10 yards (tackle by DaRon Bland),-0.300,0.740
4,4:00,1,10,TAM 27,17,26,Baker Mayfield pass complete short middle to Rachaad White for 9 yards (tackle by Nick Vigil and Marist Liufau),0.740,1.410
4,3:40,2,1,TAM 36,17,26,Baker Mayfield scrambles up the middle for 12 yards (tackle by Nick Vigil and Jourdan Lewis),1.410,2.130
4,3:16,1,10,TAM 48,17,26,Baker Mayfield pass complete short right to Payne Durham for 7 yards (tackle by Amani Oruwariye),2.130,2.530
4,3:10,2,3,DAL 45,17,26,Baker Mayfield pass complete short right to Jalen McMillan for 10 yards,2.530,3.250
4,3:06,1,10,DAL 35,17,26,Baker Mayfield pass complete deep right to Jalen McMillan for 16 yards,3.250,4.310
4,3:01,1,10,DAL 19,17,26,Baker Mayfield pass complete short right to Rakim Jarrett for 6 yards (tackle by Amani Oruwariye),4.310,4.720
4,2:40,2,4,DAL 13,23,26,Baker Mayfield pass complete short middle to Ryan Miller for 13 yards touchdown,4.720,7.000
4,2:36,,,DAL 15,24,26,Chase McLaughlin kicks extra point good,0.000,0.000
4,2:36,,,TAM 35,24,26,Chase McLaughlin kicks off 65 yards touchback.,0.000,0.940
4,2:36,1,10,DAL 30,24,26,KaVontae Turpin left end for -1 yards (tackle by Tykee Smith),0.940,0.260
4,2:31,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,2:31,2,11,DAL 29,24,26,Cooper Rush pass complete short right to CeeDee Lamb for 5 yards (tackle by Tykee Smith),0.260,0.230
4,2:00,3,6,DAL 34,24,26,Cooper Rush pass complete short left to Jake Ferguson for 4 yards (tackle by Vita Vea),0.230,-0.850
4,1:52,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
4,1:52,4,2,DAL 38,24,26,Bryan Anger punts 52 yards returned by Trey Palmer for 16 yards (tackle by Luke Schoonmaker),-0.850,-0.670
4,1:40,1,10,TAM 26,24,26,Baker Mayfield pass complete short right to Rachaad White for 5 yards. Rachaad White fumbles (forced by DaRon Bland) recovered by DaRon Bland at TB-31 (tackle by DaRon Bland) Replay Assistant challenged the fumble ruling and the play was upheld.,0.670,-3.510
4,1:31,1,10,TAM 31,24,26,Cooper Rush kneels for -2 yards,3.510,2.700
4,0:50,2,12,TAM 33,24,26,Cooper Rush kneels for -1 yards,2.700,1.880
4,0:23,3,13,TAM 34,24,26,Cooper Rush kneels for -1 yards,1.880,0.970
