Quarter,Time,Down,ToGo,Location,JAX,LVR,Detail,EPB,EPA
4,13:39,3,3,JAX 47,14,13,Aidan O'Connell pass complete short left to Ameer Abdullah for 12 yards (tackle by Devin Lloyd),1.690,3.250
4,12:50,1,10,JAX 35,14,13,Aidan O'Connell pass complete short middle to Ameer Abdullah for 11 yards (tackle by Foyesade Oluokun),3.250,3.970
4,12:14,1,10,JAX 24,14,13,Aidan O'Connell pass complete short right to Brock Bowers for 17 yards (tackle by Jarrian Jones),3.970,5.600
4,11:30,1,7,JAX 7,14,19,Ameer Abdullah right guard for 7 yards touchdown,5.600,7.000
4,11:26,,,JAX 2,14,19,Two Point Attempt: Aidan O'Connell pass incomplete intended for,1.000,-1.000
4,11:26,,,LVR 35,14,19,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
4,11:26,1,10,JAX 30,14,19,Travis Etienne right end for -4 yards (tackle by Robert Spillane and Charles Snowden),0.940,-0.150
4,10:49,2,14,JAX 26,14,19,Mac Jones pass complete short middle to Brian Thomas for 6 yards (tackle by Darnay Holmes and Divine Deablo),-0.150,-0.030
4,10:06,3,8,JAX 32,14,19,Mac Jones pass complete short right to Josiah Deguara for 4 yards (tackle by Darnay Holmes),-0.030,-0.980
4,9:27,4,4,JAX 36,14,19,Logan Cooke punts 44 yards out of bounds,-0.980,-0.280
4,9:20,1,10,LVR 20,14,19,Alexander Mattison right tackle for 1 yard (tackle by Devin Lloyd and DaVon Hamilton),0.280,-0.130
4,8:41,2,9,LVR 21,14,19,Aidan O'Connell pass complete short left to Brock Bowers for 9 yards (tackle by Tyson Campbell),-0.130,0.940
4,7:54,1,10,LVR 30,14,19,Alexander Mattison left tackle for 1 yard (tackle by Tyson Campbell and Josh Hines-Allen),0.940,0.530
4,7:12,2,9,LVR 31,14,19,Aidan O'Connell pass complete short left to Alexander Mattison for 5 yards (tackle by Foyesade Oluokun),0.530,0.500
4,6:32,3,4,LVR 36,14,19,Aidan O'Connell pass complete short right to Brock Bowers for 5 yards (tackle by Montaric Brown),0.500,1.660
4,5:50,1,10,LVR 41,14,19,Aidan O'Connell pass complete short left to Ameer Abdullah for 9 yards (tackle by Foyesade Oluokun),1.660,2.340
4,5:03,2,1,LVR 50,14,19,Aidan O'Connell up the middle for 2 yards (tackle by Andre Cisco and Arik Armstead),2.340,2.390
4,4:24,,,,,,Timeout #1 by Las Vegas Raiders,,
4,4:24,1,10,JAX 48,14,19,Ameer Abdullah left guard for -2 yards (tackle by Maason Smith),2.390,1.580
4,3:46,2,12,LVR 50,14,19,Aidan O'Connell pass complete short left to Brock Bowers for no gain (tackle by Foyesade Oluokun). Penalty on Terrace Marshall: Offensive Pass Interference 10 yards (accepted) (no play),1.580,0.230
4,3:39,2,22,LVR 40,14,19,Ameer Abdullah left guard for 6 yards (tackle by Travon Walker),0.230,0.370
4,2:59,3,16,LVR 46,14,19,Aidan O'Connell pass complete short middle to Ameer Abdullah for 6 yards (tackle by Andre Cisco and Foyesade Oluokun),0.370,0.070
4,2:52,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,2:52,4,10,JAX 48,14,19,AJ Cole punts 41 yards fair catch by Devin Duvernay at JAC-7,0.070,0.380
4,2:44,1,10,JAX 7,14,19,Mac Jones pass complete short middle to Brian Thomas for 4 yards (tackle by Divine Deablo),-0.380,-0.490
4,2:22,2,6,JAX 11,14,19,Mac Jones pass complete short right to Luke Farrell for 2 yards (tackle by Jack Jones),-0.490,-0.720
4,2:02,3,4,JAX 13,14,19,Mac Jones pass complete short left to Luke Farrell for 6 yards (tackle by Isaiah Pola-Mao),-0.720,0.150
4,1:57,1,10,JAX 19,14,19,Mac Jones pass complete deep right to Brian Thomas for 20 yards (tackle by Jonah Laulu),0.150,1.530
4,1:30,1,10,JAX 39,14,19,Mac Jones pass incomplete short right,1.530,0.990
4,1:27,2,10,JAX 39,14,19,Mac Jones pass complete short middle to Brian Thomas for 9 yards (tackle by Isaiah Pola-Mao),0.990,1.490
4,1:09,3,1,JAX 48,14,19,Mac Jones pass incomplete short middle,1.490,-0.190
4,1:05,4,1,JAX 48,14,19,Travis Etienne left guard for 11 yards (tackle by Decamerion Richardson and Thomas Harper). Penalty on Cole Van Lanen: Offensive Holding 10 yards (accepted) (no play),-0.190,-0.850
4,1:00,4,11,JAX 38,14,19,Mac Jones pass complete short right to D'Ernest Johnson for 8 yards (tackle by Tre'von Moehrig),-0.850,-2.520
4,0:52,1,10,JAX 46,14,19,Alexander Mattison right guard for 3 yards (tackle by Foyesade Oluokun and Travon Walker),2.520,2.380
4,0:47,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,0:47,2,7,JAX 43,14,19,Aidan O'Connell kneels for -3 yards,2.380,1.290
4,0:44,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,0:44,3,10,JAX 46,14,19,Aidan O'Connell kneels for -5 yards,1.290,-0.130
