Quarter,Time,Down,ToGo,Location,DAL,ATL,Detail,EPB,EPA
4,5:09,3,5,ATL 36,13,27,Kirk Cousins pass incomplete short right intended for Darnell Mooney,0.430,-0.980
4,5:05,4,5,ATL 36,13,27,Bradley Pinion punts 53 yards returned by KaVontae Turpin for 3 yards (tackle by Natrone Brooks),-0.980,0.280
4,4:56,1,10,DAL 14,13,27,Cooper Rush pass incomplete short right intended for Jake Ferguson,-0.280,-0.750
4,4:52,2,10,DAL 14,13,27,Cooper Rush pass complete short right to Jalen Brooks for 16 yards (tackle by Jessie Bates),-0.750,0.940
4,4:30,1,10,DAL 30,13,27,Cooper Rush pass complete short right to KaVontae Turpin for 5 yards (tackle by DeAundre Alford),0.940,1.070
4,4:01,2,5,DAL 35,13,27,Cooper Rush pass incomplete short right intended for Jalen Brooks,1.070,0.370
4,3:56,3,5,DAL 35,13,27,Cooper Rush pass incomplete short left intended for Jalen Brooks,0.370,-1.040
4,3:51,4,5,DAL 35,13,27,Cooper Rush pass complete short middle to KaVontae Turpin for 22 yards (tackle by AJ Terrell),-1.040,2.720
4,3:16,1,10,ATL 43,13,27,Cooper Rush pass complete short right to Ryan Flournoy for 13 yards (tackle by Nathan Landman and Jessie Bates),2.720,3.580
4,2:52,1,10,ATL 30,13,27,Cooper Rush pass incomplete deep right intended for Jalen Tolbert,3.580,3.030
4,2:45,2,10,ATL 30,13,27,Cooper Rush pass complete short middle to Rico Dowdle for 13 yards (tackle by DeAngelo Malone),3.030,4.440
4,2:18,1,10,ATL 17,13,27,Cooper Rush pass complete short right to KaVontae Turpin for 9 yards (tackle by Nathan Landman),4.440,5.480
4,2:00,2,1,ATL 8,13,27,Cooper Rush pass incomplete short left intended for Jalen Tolbert,5.480,4.800
4,1:57,3,1,ATL 8,13,27,Cooper Rush right end for 4 yards. Cooper Rush fumbles recovered by Cooper Rush at ATL-11 (tackle by Nathan Landman),4.800,6.280
4,1:37,1,4,ATL 4,13,27,Cooper Rush pass incomplete short right intended for Jalen Brooks,6.280,5.340
4,1:32,2,4,ATL 4,19,27,Cooper Rush pass complete short middle to Jalen Tolbert for 4 yards touchdown,5.340,7.000
4,1:28,,,ATL 2,21,27,Two Point Attempt: Cooper Rush pass complete to to CeeDee Lamb for no gain,1.000,1.000
4,1:28,,,DAL 35,21,27,Brandon Aubrey kicks onside 7 yards returned by Kyle Pitts for no gain,0.000,2.790
4,1:27,1,10,DAL 42,21,27,Kirk Cousins kneels for -4 yards,2.790,1.700
4,1:24,,,,,,Timeout #3 by Dallas Cowboys,,
4,1:24,2,14,DAL 46,21,27,Kirk Cousins kneels for -4 yards,1.700,0.500
4,0:41,3,18,ATL 50,21,27,Kirk Cousins kneels for -3 yards,0.500,-0.260
