Quarter,Time,Down,ToGo,Location,BUF,DET,Detail,EPB,EPA
4,2:55,3,10,DET 10,45,35,Josh Allen pass complete short middle to Dalton Kincaid for no gain touchdown. Penalty on David Edwards: Offensive Holding 10 yards (accepted) (no play),3.130,2.340
4,2:50,3,20,DET 20,45,35,Penalty on Alec Anderson: False Start 5 yards (accepted) (no play),2.340,1.680
4,2:50,3,25,DET 25,45,35,Ray Davis up the middle for 2 yards (tackle by Brian Branch and Josh Paschal),1.680,1.930
4,2:06,4,23,DET 23,48,35,Tyler Bass 41 yard field goal good,1.930,3.000
4,2:03,,,BUF 35,48,35,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
4,2:03,1,10,DET 30,48,35,Jared Goff pass incomplete deep middle intended for Tim Patrick,0.940,0.390
4,1:57,2,10,DET 30,48,35,Jared Goff pass complete short middle to Tim Patrick for 5 yards (tackle by Dorian Williams),0.390,0.370
4,1:42,3,5,DET 35,48,35,Jared Goff pass incomplete short middle,0.370,-1.040
4,1:35,4,5,DET 35,48,35,Jared Goff pass complete short left to Amon-Ra St. Brown for 6 yards (tackle by Kaiir Elam),-1.040,1.660
4,1:29,1,10,DET 41,48,35,Jared Goff pass incomplete short left intended for Sam LaPorta,1.660,1.120
4,1:21,2,10,DET 41,48,35,Jared Goff pass complete short middle to Sam LaPorta for 11 yards (tackle by Dorian Williams),1.120,2.390
4,1:07,1,10,BUF 48,48,35,Jared Goff spiked the ball,2.390,1.850
4,1:05,2,10,BUF 48,48,35,Jared Goff pass complete short right to Sam LaPorta for 12 yards (tackle by Taron Johnson and Terrel Bernard),1.850,3.180
4,0:50,1,10,BUF 36,48,35,Jared Goff spiked the ball,3.180,2.640
4,0:49,2,10,BUF 36,48,35,Jared Goff pass incomplete short right,2.640,1.950
4,0:44,3,10,BUF 36,48,35,Jared Goff pass incomplete short middle intended for Sam LaPorta,1.950,0.880
4,0:40,,,,,,Timeout #2 by Buffalo Bills,,
4,0:40,4,10,BUF 36,48,35,Jared Goff pass complete short right to Amon-Ra St. Brown for 2 yards lateral to Jahmyr Gibbs for 21 yards (tackle by Cameron Lewis),0.880,4.710
4,0:33,1,10,BUF 13,48,35,Jared Goff pass complete short middle to Amon-Ra St. Brown for 10 yards (tackle by Cameron Lewis and Terrel Bernard),4.710,6.510
4,0:25,,,,,,Timeout #1 by Detroit Lions,,
4,0:25,1,3,BUF 3,48,35,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown,6.510,5.530
4,0:19,2,3,BUF 3,48,35,Jared Goff pass incomplete short left intended for Tim Patrick (defended by Christian Benford),5.530,4.720
4,0:16,3,3,BUF 3,48,41,Jared Goff pass complete short left to Jameson Williams for 3 yards touchdown,4.720,7.000
4,0:12,,,BUF 15,48,42,Jake Bates kicks extra point good,0.000,0.000
4,0:12,,,DET 35,48,42,Jake Bates kicks onside 11 yards returned by Taron Johnson for no gain,0.000,2.520
4,0:11,1,10,DET 46,48,42,Josh Allen kneels for -1 yards,2.520,1.840
