Quarter,Time,Down,ToGo,Location,CIN,TEN,Detail,EPB,EPA
4,2:25,1,10,TEN 10,31,21,Chase Brown up the middle for no gain (tackle by T'Vondre Sweat and Darrell Baker),4.910,4.190
4,2:00,2,10,TEN 10,31,21,Chase Brown up the middle for 5 yards (tackle by T'Vondre Sweat),4.190,4.260
4,1:14,3,5,TEN 5,37,21,Chase Brown up the middle for 5 yards touchdown,4.260,7.000
4,1:09,,,TEN 15,37,21,Cade York kicks extra point no good,0.000,-1.000
4,1:09,,,CIN 35,37,21,Cade York kicks off 65 yards touchback.,0.000,0.940
4,1:09,1,10,TEN 30,37,21,Mason Rudolph pass complete short right to Josh Whyle for 3 yards (tackle by Mike Hilton),0.940,0.800
4,0:48,2,7,TEN 33,37,21,Mason Rudolph pass incomplete deep right intended for Calvin Ridley (defended by Josh Newton),0.800,0.100
4,0:42,3,7,TEN 33,37,21,Mason Rudolph pass complete short right to Tyjae Spears for 43 yards (tackle by Jordan Battle),0.100,3.970
4,0:30,1,10,CIN 24,37,21,Mason Rudolph pass complete short left to Tyjae Spears for 7 yards (tackle by Cam Taylor-Britt),3.970,4.460
4,0:23,2,3,CIN 17,37,21,Mason Rudolph pass complete short left to Nick Westbrook-Ikhine for 4 yards (tackle by Cam Taylor-Britt),4.460,4.710
4,0:07,1,10,CIN 13,37,21,Mason Rudolph spiked the ball,4.710,4.050
4,0:05,2,10,CIN 13,37,27,Mason Rudolph pass complete short left to Josh Whyle for 13 yards touchdown,4.050,7.000
