Quarter,Time,Down,ToGo,Location,NYJ,MIN,Detail,EPB,EPA
4,6:04,1,10,MIN 30,17,20,Ty Chandler right end for 1 yard (tackle by Quinnen Williams and Sauce Gardner),0.940,0.530
4,5:43,2,9,MIN 31,17,20,Sam Darnold pass complete deep middle to Justin Jefferson for 25 yards (tackle by Chuck Clark),0.530,2.650
4,5:01,1,10,NYJ 44,17,20,Ty Chandler right end for 2 yards (tackle by Quincy Williams). Penalty on Ed Ingram: Offensive Illegal Block Above the Waist 10 yards (accepted),2.650,2.130
4,4:53,1,18,MIN 48,17,20,Sam Darnold pass complete short left to Justin Jefferson for 6 yards (tackle by Isaiah Oliver),2.130,1.840
4,4:13,2,12,NYJ 46,17,20,Sam Darnold pass complete deep middle to Johnny Mundt for 20 yards (tackle by Tony Adams),1.840,3.840
4,3:28,1,10,NYJ 26,17,20,Sam Darnold pass incomplete short right intended for Justin Jefferson,3.840,3.300
4,3:19,2,10,NYJ 26,17,20,Ty Chandler left guard for 3 yards (tackle by Javon Kinlaw),3.300,3.010
4,3:15,,,,,,Timeout #1 by New York Jets,,
4,3:15,3,7,NYJ 23,17,20,Sam Darnold pass incomplete short right intended for Justin Jefferson (defended by Chuck Clark),3.010,1.930
4,3:11,4,7,NYJ 23,17,23,Will Reichard 41 yard field goal good,1.930,3.000
4,3:07,,,MIN 35,17,23,Will Reichard kicks off 65 yards touchback.,0.000,0.940
4,3:07,1,10,NYJ 30,17,23,Aaron Rodgers pass incomplete deep right intended for Allen Lazard (defended by Shaquill Griffin),0.940,0.390
4,3:02,2,10,NYJ 30,17,23,Aaron Rodgers pass complete short left to Garrett Wilson for 16 yards (tackle by Camryn Bynum),0.390,1.990
4,2:31,1,10,NYJ 46,17,23,Aaron Rodgers pass complete short left to Allen Lazard for 7 yards (tackle by Camryn Bynum),1.990,2.400
4,2:00,2,3,MIN 47,17,23,Aaron Rodgers pass complete short right to Allen Lazard for 6 yards (tackle by Camryn Bynum),2.400,2.850
4,1:36,1,10,MIN 41,17,23,Aaron Rodgers pass incomplete deep right intended for Garrett Wilson,2.850,2.310
4,1:31,2,10,MIN 41,17,23,Aaron Rodgers pass complete short right to Garrett Wilson for 9 yards (tackle by Stephon Gilmore),2.310,2.810
4,1:06,3,1,MIN 32,17,23,Breece Hall right guard for 6 yards (tackle by Jonathan Greenard),2.810,3.840
4,0:58,,,,,,Timeout #2 by New York Jets,,
4,0:58,1,10,MIN 26,17,23,Aaron Rodgers pass incomplete short right intended for Tyler Conklin (defended by Jihad Ward),3.840,3.300
4,0:54,2,10,MIN 26,17,23,Aaron Rodgers pass incomplete short left intended for Garrett Wilson,3.300,2.610
4,0:49,3,10,MIN 26,17,23,Aaron Rodgers pass deep right intended for Mike Williams is intercepted by Stephon Gilmore at MIN-9 and returned for no gain (tackle by Mike Williams),2.610,0.380
4,0:44,1,10,MIN 9,17,23,Sam Darnold kneels for -1 yards,-0.380,-0.850
4,0:25,2,11,MIN 8,17,23,Sam Darnold kneels for -1 yards,-0.850,-1.650
