Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA
4,2:41,1,10,IND 30,22,27,Anthony Richardson left guard for 4 yards (tackle by Micheal Clemons and Quinnen Williams),0.940,0.930
4,2:15,2,6,IND 34,22,27,Anthony Richardson pass complete deep right to Alec Pierce for 39 yards (tackle by Jalen Mills),0.930,3.780
4,2:00,1,10,NYJ 27,22,27,Anthony Richardson pass complete deep left to Josh Downs for 17 yards (tackle by Isaiah Oliver),3.780,4.910
4,1:34,1,10,NYJ 10,22,27,Anthony Richardson pass complete short right to Michael Pittman for 4 yards (tackle by Isaiah Oliver),4.910,4.950
4,1:29,,,,,,Timeout #3 by New York Jets,,
4,1:29,2,6,NYJ 6,22,27,Jonathan Taylor right guard for 2 yards (tackle by Will McDonald and Micheal Clemons),4.950,4.490
4,0:51,3,4,NYJ 4,28,27,Anthony Richardson left end for 4 yards touchdown,4.490,7.000
4,0:46,,,NYJ 2,28,27,Two Point Attempt: Jonathan Taylor rushes conversion fails.,1.000,-1.000
4,0:46,,,IND 35,28,27,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,0:46,1,10,NYJ 30,28,27,Aaron Rodgers sacked by Kwity Paye for -10 yards. Aaron Rodgers fumbles (forced by Kwity Paye) recovered by Tyler Conklin at NYJ-20 and returned for -3 yards (tackle by DeForest Buckner),0.940,-1.500
4,0:22,2,23,NYJ 17,28,27,Aaron Rodgers pass complete short middle to Breece Hall for 11 yards (tackle by Kenny Moore and E.J. Speed). Penalty on E.J. Speed: Defensive Delay of Game 5 yards (accepted),-1.500,0.100
4,0:15,3,7,NYJ 33,28,27,Aaron Rodgers sacked by Kwity Paye for -5 yards,0.100,-1.500
