Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA
4,9:27,2,4,DAL 15,27,10,Cooper Rush sacked by Tim Settle for -9 yards,-0.280,-1.770
4,8:52,3,13,DAL 6,27,10,Cooper Rush pass complete deep middle to Luke Schoonmaker for 24 yards (tackle by Jalen Pitre and Jimmie Ward),-1.770,0.940
4,8:18,1,10,DAL 30,27,10,Cooper Rush pass complete short middle to Ezekiel Elliott for 9 yards (tackle by Jalen Pitre),0.940,1.610
4,7:56,2,1,DAL 39,27,10,Ezekiel Elliott left tackle for 8 yards (tackle by Ka'dar Hollman),1.610,2.060
4,7:28,1,10,DAL 47,27,10,Cooper Rush pass incomplete short left intended for Jonathan Mingo,2.060,1.520
4,7:24,2,10,DAL 47,27,10,Cooper Rush pass complete short left to Ezekiel Elliott for 2 yards (tackle by Devin White),1.520,1.090
4,6:54,3,8,DAL 49,27,10,Cooper Rush sacked by Danielle Hunter for -8 yards,1.090,-0.650
4,6:18,4,16,DAL 41,27,10,Cooper Rush sacked by Denico Autry for -6 yards,-0.650,-3.250
4,6:06,1,10,DAL 35,27,10,Joe Mixon right tackle for 3 yards (tackle by Mazi Smith),3.250,3.110
4,5:30,2,7,DAL 32,27,10,Joe Mixon left end for 17 yards (tackle by Juanyeh Thomas and Donovan Wilson),3.110,4.580
4,4:47,1,10,DAL 15,27,10,Joe Mixon left tackle for 1 yard (tackle by Marist Liufau and Mazi Smith),4.580,4.110
4,4:06,2,9,DAL 14,27,10,Joe Mixon left guard for 5 yards (tackle by Eric Kendricks and Malik Hooker),4.110,4.220
4,3:33,3,4,DAL 9,27,10,Penalty on Laremy Tunsil: Unnecessary Roughness / Offense 15 yards (offset) Penalty on DeMarvion Overshown: Unnecessary Roughness / Defense 15 yards (offset) Penalty on Marist Liufau: Unnecessary Roughness / Defense 15 yards (offset) Penalty on Mazi Smith: Unnecessary Roughness / Defense 15 yards (offset) Penalty on Trevon Diggs: Unnecessary Roughness / Defense 15 yards (offset) (no play),4.220,4.220
4,3:26,3,4,DAL 9,27,10,C.J. Stroud pass complete short right to Joe Mixon for 7 yards (tackle by Josh Butler),4.220,6.740
4,3:19,1,2,DAL 2,27,10,Penalty on DAL: Defensive Too Many Men on Field 1 yard (accepted) (no play),6.740,6.970
4,3:19,1,1,DAL 1,33,10,Joe Mixon right guard for 1 yard touchdown,6.970,7.000
4,3:16,,,DAL 15,34,10,Ka'imi Fairbairn kicks extra point good,0.000,0.000
4,3:16,,,HOU 35,34,10,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
4,3:16,1,10,DAL 30,34,10,Deuce Vaughn up the middle for 1 yard (tackle by Jalen Pitre and Jerry Hughes),0.940,0.530
4,2:48,2,9,DAL 31,34,10,Cooper Rush pass complete short middle to Deuce Vaughn for 4 yards (tackle by Mario Edwards),0.530,0.370
4,2:17,3,5,DAL 35,34,10,Cooper Rush pass complete short left to KaVontae Turpin for 6 yards (tackle by Jeff Okudah),0.370,1.660
4,2:00,1,10,DAL 41,34,10,Cooper Rush pass complete short left to Ryan Flournoy for 4 yards (tackle by Jeff Okudah),1.660,1.660
4,1:38,2,6,DAL 45,34,10,Cooper Rush pass complete short right to Brevyn Spann-Ford for 11 yards (tackle by Del'Shawn Phillips and Jake Hansen),1.660,2.650
4,1:10,1,10,HOU 44,34,10,Deuce Vaughn left guard for 2 yards (tackle by Neville Hewitt),2.650,2.380
4,0:38,2,8,HOU 42,34,10,Cooper Rush pass complete short right to KaVontae Turpin for 16 yards (tackle by Jake Hansen),2.380,3.840
4,0:19,1,10,HOU 26,34,10,Cooper Rush pass incomplete deep right intended for Jonathan Mingo (defended by Ka'dar Hollman),3.840,3.300
4,0:09,2,10,HOU 26,34,10,Deuce Vaughn left guard for 7 yards (tackle by Jake Hansen),3.300,3.570
