Quarter,Time,Down,ToGo,Location,DAL,WAS,Detail,EPB,EPA
4,1:45,1,10,DAL 33,27,17,Jayden Daniels spiked the ball,3.380,2.840
4,1:44,2,10,DAL 33,27,20,Austin Seibert 51 yard field goal good,2.840,3.000
4,1:40,,,WAS 35,27,20,Austin Seibert kicks onside 14 yards returned by Jalen Tolbert for no gain,0.000,2.320
4,1:40,1,10,WAS 49,27,20,Cooper Rush right end for -2 yards (tackle by Quan Martin),2.320,1.510
4,1:34,,,,,,Timeout #2 by Washington Commanders,,
4,1:34,2,12,DAL 49,27,20,Cooper Rush sacked by Daron Payne for -6 yards,1.510,0.040
4,1:27,,,,,,Timeout #3 by Washington Commanders,,
4,1:27,3,18,DAL 43,27,20,Rico Dowdle right tackle for 7 yards (tackle by Jeremy Chinn and Michael Davis),0.040,-0.060
4,0:40,4,11,DAL 50,27,20,Penalty on DAL: Delay of Game 5 yards (declined) (no play),-0.060,-0.060
4,0:40,4,11,DAL 50,27,20,Bryan Anger punts 36 yards fair catch by Olamide Zaccheaus at WAS-14,-0.060,0.280
4,0:33,1,10,WAS 14,27,26,Jayden Daniels pass complete deep right to Terry McLaurin for 86 yards touchdown,-0.280,7.000
4,0:21,,,DAL 15,27,26,Austin Seibert kicks extra point no good,0.000,-1.000
4,0:21,,,,,,Timeout #3 by Dallas Cowboys,,
4,0:21,,,WAS 35,33,26,Austin Seibert kicks onside 8 yards returned by Juanyeh Thomas for 43 yards touchdown,0.000,7.000
4,0:14,,,WAS 15,34,26,Brandon Aubrey kicks extra point good,0.000,0.000
4,0:14,,,DAL 35,34,26,Brandon Aubrey kicks off 67 yards returned by Austin Ekeler for 38 yards (tackle by Nick Vigil and Damone Clark),0.000,1.330
4,0:09,1,10,WAS 36,34,26,Jayden Daniels pass complete short left to Zach Ertz for 6 yards,1.330,1.600
4,0:04,2,4,WAS 42,34,26,Jayden Daniels pass deep right is intercepted by Israel Mukuamu at DAL-5 and returned for 5 yards (tackle by Luke McCaffrey),1.600,4.910
