Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA
4,3:56,4,12,CIN 12,44,31,Chris Boswell 30 yard field goal good,2.630,3.000
4,3:53,,,PIT 35,44,31,Chris Boswell kicks off 63 yards returned by Jermaine Burton for 34 yards (tackle by Beanie Bishop),0.000,1.330
4,3:46,1,10,CIN 36,44,31,Joe Burrow pass complete short left to Ja'Marr Chase for 7 yards (tackle by Beanie Bishop and Joey Porter),1.330,1.740
4,3:28,2,3,CIN 43,44,31,Joe Burrow pass complete short right to Mike Gesicki for 5 yards (tackle by Cameron Sutton),1.740,2.130
4,3:23,1,10,CIN 48,44,31,Joe Burrow pass complete deep middle to Ja'Marr Chase for 49 yards (tackle by Minkah Fitzpatrick),2.130,6.510
4,2:46,1,3,PIT 3,44,31,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,6.510,5.530
4,2:43,2,3,PIT 3,44,37,Joe Burrow pass complete short middle to Andrei Iosivas for 3 yards touchdown. Penalty on Joey Porter: Illegal Use of Hands / Defense 5 yards (declined),5.530,7.000
4,2:39,,,PIT 15,44,38,Evan McPherson kicks extra point good,0.000,0.000
4,2:39,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,2:39,,,CIN 35,44,38,Evan McPherson kicks onside 11 yards returned by Connor Heyward for no gain,0.000,2.520
4,2:38,1,10,CIN 46,44,38,Najee Harris left tackle for 3 yards (tackle by Geno Stone),2.520,2.380
4,2:00,2,7,CIN 43,44,38,Najee Harris right end for 3 yards (tackle by B.J. Hill and Sam Hubbard). Penalty on MyCole Pruitt: Offensive Holding 10 yards (declined),2.380,2.080
4,1:54,3,4,CIN 40,44,38,Justin Fields right end for 7 yards (tackle by Josh Newton),2.080,3.380
4,1:12,1,10,CIN 33,44,38,Russell Wilson kneels for -1 yards,3.380,2.700
4,0:33,2,11,CIN 34,44,38,Russell Wilson kneels for -1 yards,2.700,1.880
