Quarter,Time,Down,ToGo,Location,LVR,KAN,Detail,EPB,EPA
4,2:24,3,11,KAN 40,17,19,Aidan O'Connell pass incomplete short right intended for Jakobi Meyers (defended by Justin Reid),1.620,0.590
4,2:21,,,,,,Timeout #1 by Las Vegas Raiders,,
4,2:21,4,11,KAN 40,17,19,Daniel Carlson 58 yard field goal no good,0.590,-2.130
4,2:17,1,10,KAN 48,17,19,Isiah Pacheco right guard for 5 yards (tackle by Robert Spillane and Thomas Harper),2.130,2.260
4,2:13,,,,,,Timeout #2 by Las Vegas Raiders,,
4,2:13,2,5,LVR 47,17,19,Isiah Pacheco up the middle for 3 yards (tackle by Maxx Crosby and Tre'von Moehrig),2.260,1.950
4,2:09,,,,,,Timeout #3 by Las Vegas Raiders,,
4,2:09,3,2,LVR 44,17,19,Patrick Mahomes pass incomplete deep right intended for Xavier Worthy,1.950,0.330
4,2:03,,,,,,Timeout #1 by Kansas City Chiefs,,
4,2:03,4,2,LVR 44,17,19,Matt Araiza punts 36 yards fair catch by Ameer Abdullah at LV-8,0.330,0.380
4,1:56,1,10,LVR 8,17,19,Aidan O'Connell pass incomplete short right intended for Michael Mayer. Penalty on Chris Jones: Defensive Offside 5 yards (accepted) (no play),-0.380,-0.070
4,1:51,1,5,LVR 13,17,19,Aidan O'Connell pass complete short middle to Ameer Abdullah for 7 yards (tackle by Justin Reid),-0.070,0.280
4,1:30,1,10,LVR 20,17,19,Aidan O'Connell pass complete short right to Michael Mayer for 5 yards (tackle by Nick Bolton),0.280,0.410
4,1:14,2,5,LVR 25,17,19,Aidan O'Connell pass complete deep left to Brock Bowers for 25 yards (tackle by Chamarri Conner),0.410,2.260
4,0:52,1,10,KAN 50,17,19,Aidan O'Connell pass complete short left to Jakobi Meyers for 11 yards (tackle by Trent McDuffie),2.260,2.980
4,0:37,1,10,KAN 39,17,19,Aidan O'Connell pass complete short left to Ameer Abdullah for 7 yards (tackle by Jaden Hicks),2.980,3.390
4,0:16,2,3,KAN 32,17,19,Aidan O'Connell spiked the ball,3.390,2.680
4,0:14,3,3,KAN 32,17,19,Aidan O'Connell for -6 yards. Aidan O'Connell fumbles recovered by Nick Bolton at KC-37 Penalty on LVR: Illegal Shift 5 yards (declined),2.680,-1.400
4,0:11,1,10,KAN 37,17,19,Patrick Mahomes kneels for -1 yards,1.400,0.720
